Tarih,Şehir,Bölge,Kategori,Ürün,Adet,Birim Fiyat,Satış,Müşteri Tipi
2024-01-03,İstanbul,Marmara,Elektronik,Laptop,2,18500,37000,Kurumsal
2024-01-05,Ankara,İç Anadolu,Giyim,Mont,5,890,4450,Bireysel
2024-01-07,İzmir,Ege,Elektronik,Tablet,3,7200,21600,Bireysel
2024-01-09,İstanbul,Marmara,Gıda,Kahve Makinesi,1,4300,4300,Bireysel
2024-01-11,Bursa,Marmara,Elektronik,Kulaklık,8,1250,10000,Kurumsal
2024-01-14,Ankara,İç Anadolu,Elektronik,Laptop,1,19200,19200,Kurumsal
2024-01-15,İstanbul,Marmara,Giyim,Elbise,12,650,7800,Bireysel
2024-01-17,Antalya,Akdeniz,Gıda,Kahve Makinesi,2,4300,8600,Bireysel
2024-01-19,İzmir,Ege,Giyim,Mont,4,920,3680,Bireysel
2024-01-22,İstanbul,Marmara,Elektronik,Telefon,6,14500,87000,Kurumsal
2024-01-24,Bursa,Marmara,Gıda,Blender,3,1800,5400,Bireysel
2024-01-26,Ankara,İç Anadolu,Giyim,Elbise,7,620,4340,Bireysel
2024-01-29,İstanbul,Marmara,Elektronik,Tablet,4,7500,30000,Kurumsal
2024-01-31,Antalya,Akdeniz,Elektronik,Kulaklık,5,1200,6000,Bireysel
2024-02-02,İzmir,Ege,Elektronik,Laptop,2,18800,37600,Kurumsal
2024-02-05,İstanbul,Marmara,Gıda,Blender,6,1750,10500,Bireysel
2024-02-07,Ankara,İç Anadolu,Elektronik,Telefon,3,15000,45000,Kurumsal
2024-02-09,Bursa,Marmara,Giyim,Mont,9,870,7830,Bireysel
2024-02-12,İstanbul,Marmara,Elektronik,Laptop,3,18500,55500,Kurumsal
2024-02-14,Antalya,Akdeniz,Giyim,Elbise,10,680,6800,Bireysel
2024-02-16,İzmir,Ege,Gıda,Kahve Makinesi,3,4100,12300,Bireysel
2024-02-19,İstanbul,Marmara,Elektronik,Kulaklık,15,1300,19500,Kurumsal
2024-02-21,Ankara,İç Anadolu,Elektronik,Tablet,5,7000,35000,Kurumsal
2024-02-23,Bursa,Marmara,Gıda,Blender,4,1800,7200,Bireysel
2024-02-26,İstanbul,Marmara,Giyim,Mont,6,950,5700,Bireysel
2024-02-28,Antalya,Akdeniz,Elektronik,Laptop,1,19500,19500,Bireysel
2024-03-01,İzmir,Ege,Elektronik,Telefon,4,14800,59200,Kurumsal
2024-03-04,İstanbul,Marmara,Gıda,Kahve Makinesi,8,4200,33600,Kurumsal
2024-03-06,Ankara,İç Anadolu,Giyim,Mont,11,890,9790,Bireysel
2024-03-08,Bursa,Marmara,Elektronik,Kulaklık,6,1250,7500,Bireysel
2024-03-11,İstanbul,Marmara,Elektronik,Tablet,7,7300,51100,Kurumsal
2024-03-13,Antalya,Akdeniz,Gıda,Blender,5,1750,8750,Bireysel
2024-03-15,İzmir,Ege,Giyim,Elbise,14,640,8960,Bireysel
2024-03-18,İstanbul,Marmara,Elektronik,Laptop,4,18900,75600,Kurumsal
2024-03-20,Ankara,İç Anadolu,Elektronik,Kulaklık,9,1280,11520,Kurumsal
2024-03-22,Bursa,Marmara,Gıda,Kahve Makinesi,2,4300,8600,Bireysel
2024-03-25,İstanbul,Marmara,Giyim,Mont,8,920,7360,Bireysel
2024-03-27,Antalya,Akdeniz,Elektronik,Telefon,2,15200,30400,Bireysel
2024-03-29,İzmir,Ege,Elektronik,Tablet,6,7100,42600,Kurumsal
2024-04-01,İstanbul,Marmara,Gıda,Blender,10,1800,18000,Kurumsal
2024-04-03,Ankara,İç Anadolu,Elektronik,Laptop,2,19000,38000,Kurumsal
2024-04-05,Bursa,Marmara,Giyim,Elbise,18,660,11880,Bireysel
2024-04-08,İstanbul,Marmara,Elektronik,Telefon,8,14600,116800,Kurumsal
2024-04-10,Antalya,Akdeniz,Gıda,Kahve Makinesi,4,4150,16600,Bireysel
2024-04-12,İzmir,Ege,Elektronik,Kulaklık,11,1220,13420,Bireysel
2024-04-15,İstanbul,Marmara,Elektronik,Laptop,5,18700,93500,Kurumsal
2024-04-17,Ankara,İç Anadolu,Gıda,Blender,7,1750,12250,Bireysel
2024-04-19,Bursa,Marmara,Elektronik,Tablet,4,7200,28800,Kurumsal
2024-04-22,İstanbul,Marmara,Giyim,Mont,13,900,11700,Bireysel
2024-04-24,Antalya,Akdeniz,Elektronik,Laptop,2,19200,38400,Bireysel
2024-04-26,İzmir,Ege,Gıda,Kahve Makinesi,5,4200,21000,Bireysel
2024-04-29,İstanbul,Marmara,Elektronik,Kulaklık,20,1300,26000,Kurumsal
2024-05-02,Ankara,İç Anadolu,Giyim,Elbise,9,670,6030,Bireysel
2024-05-04,Bursa,Marmara,Elektronik,Telefon,3,15100,45300,Bireysel
2024-05-06,İstanbul,Marmara,Gıda,Blender,8,1800,14400,Kurumsal
2024-05-09,Antalya,Akdeniz,Elektronik,Tablet,5,7000,35000,Bireysel
2024-05-11,İzmir,Ege,Elektronik,Laptop,3,18600,55800,Kurumsal
2024-05-13,İstanbul,Marmara,Giyim,Mont,10,930,9300,Bireysel
2024-05-16,Ankara,İç Anadolu,Elektronik,Kulaklık,12,1260,15120,Kurumsal
2024-05-18,Bursa,Marmara,Gıda,Kahve Makinesi,3,4300,12900,Bireysel
2024-05-20,İstanbul,Marmara,Elektronik,Telefon,10,14800,148000,Kurumsal
2024-05-23,Antalya,Akdeniz,Giyim,Elbise,15,650,9750,Bireysel
2024-05-25,İzmir,Ege,Elektronik,Tablet,7,7200,50400,Kurumsal
2024-05-27,İstanbul,Marmara,Elektronik,Laptop,6,18500,111000,Kurumsal
2024-05-30,Ankara,İç Anadolu,Gıda,Blender,9,1750,15750,Bireysel
2024-06-01,Bursa,Marmara,Elektronik,Kulaklık,7,1280,8960,Bireysel
2024-06-03,İstanbul,Marmara,Gıda,Kahve Makinesi,10,4100,41000,Kurumsal
2024-06-06,Antalya,Akdeniz,Elektronik,Laptop,3,19000,57000,Bireysel
2024-06-08,İzmir,Ege,Giyim,Mont,7,910,6370,Bireysel
2024-06-10,İstanbul,Marmara,Elektronik,Tablet,9,7400,66600,Kurumsal
2024-06-13,Ankara,İç Anadolu,Elektronik,Telefon,4,15300,61200,Kurumsal
2024-06-15,Bursa,Marmara,Giyim,Elbise,20,660,13200,Bireysel
2024-06-17,İstanbul,Marmara,Elektronik,Kulaklık,25,1300,32500,Kurumsal
